Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;504;202;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;10
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;;;;;nulos;6
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;;;;;blancos;5
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;;;;;impugnados;0
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;120
CONSENSO ISHCHIGUALASTO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;502;200;1;CONSENSO;positivo;16
FRENTE DE TODOS;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;503;201;1;TODOS UNIDOS;positivo;68
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:23;3;00045;18;4;00627X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;8
